threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.8000000000000002,120,3,1,90,0.9917355371900827,0.975609756097561,0.9836065573770492,0.9813084112149533,l
0.8500000000000002,116,7,1,90,0.9914529914529915,0.943089430894309,0.9666666666666667,0.9626168224299065,l
0.9000000000000002,112,11,1,90,0.9911504424778761,0.9105691056910569,0.9491525423728814,0.9439252336448598,l
0.9500000000000003,74,49,1,90,0.9866666666666667,0.6016260162601627,0.7474747474747475,0.7663551401869159,l
0.1,97,0,9,119,0.9150943396226415,1.0,0.9556650246305419,0.96,m
0.15000000000000002,97,0,7,121,0.9326923076923077,1.0,0.9651741293532339,0.9688888888888889,m
0.20000000000000004,97,0,6,122,0.941747572815534,1.0,0.97,0.9733333333333334,m
0.25000000000000006,97,0,6,122,0.941747572815534,1.0,0.97,0.9733333333333334,m
0.30000000000000004,97,0,4,124,0.9603960396039604,1.0,0.9797979797979798,0.9822222222222222,m
0.3500000000000001,97,0,4,124,0.9603960396039604,1.0,0.9797979797979798,0.9822222222222222,m
0.40000000000000013,97,0,4,124,0.9603960396039604,1.0,0.9797979797979798,0.9822222222222222,m
0.45000000000000007,97,0,4,124,0.9603960396039604,1.0,0.9797979797979798,0.9822222222222222,m
0.5000000000000001,97,0,3,125,0.97,1.0,0.9847715736040609,0.9866666666666667,m
0.5500000000000002,97,0,3,125,0.97,1.0,0.9847715736040609,0.9866666666666667,m
0.6000000000000002,97,0,1,127,0.9897959183673469,1.0,0.9948717948717948,0.9955555555555555,m
0.6500000000000001,97,0,0,128,1.0,1.0,1.0,1.0,m
0.7000000000000002,96,1,0,128,1.0,0.9896907216494846,0.9948186528497409,0.9955555555555555,m
0.7500000000000002,96,1,0,128,1.0,0.9896907216494846,0.9948186528497409,0.9955555555555555,m
0.8000000000000002,94,3,0,128,1.0,0.9690721649484536,0.9842931937172774,0.9866666666666667,m
0.8500000000000002,90,7,0,128,1.0,0.9278350515463918,0.9625668449197862,0.9688888888888889,m
0.9000000000000002,77,20,0,128,1.0,0.7938144329896907,0.8850574712643678,0.9111111111111111,m
0.9500000000000003,48,49,0,128,1.0,0.4948453608247423,0.6620689655172414,0.7822222222222223,m
